,Job Title,Employer,Salary,Description,Link,Date,Year
5766,Elections Services Technician,"Contra Costa County, California</strong>","$3,561-$4,328 monthly","Elections Services Technician, Contra Costa County, California— current vacant positions will be assigned to one of the specialized unit of the elections department: Candidate and Voter Services; Voter Registration; Services and File Maintenance; Absentee Services/ Training and Procedures; Polling Place/Poll Worker Recruitment/Precinct Services; GIS and Mapping Services; and Warehouse and Equipment Services. This classification is responsible for performing complex and technical support activities associated with the preparation for and the conduction of elections; database management in one or more database systems and related work as required. Elections Services Technicians have responsibility for the unit’s day-to-day activities and are responsible to insure that proper procedures are following the preparation and conducting of each election. Salary: $3,561-$4,328 monthly. Deadline: April 7. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/contracosta,03-30,2017
5767,Elections Training Specialist,"Wake County, North Carolina</strong> ",$18.98- $25.62/hr + benefits and eligible for overtime pay,"Elections Training Specialist, Wake County, North Carolina – The Wake County Board of Elections is seeking a Training Specialist to manage the training program for our 2,500+ election officials. This position will oversee the daily operation of the training program for the department; develop training materials, including classroom presentations, manuals, workbooks, training videos and online training modules to facilitate comprehensive training for election officials; review, evaluate, and modify existing and proposed programs and recommend changes; manage the Learning Management System through user interface design, user record management, course creation, and uploading of SCORM packages; schedule and design layouts for training facilities; train and manage instructors and assistants for in-person training classes; collaborate with team members to gain knowledge of work processes, identify training needs, and establish plans to address the needs through training solutions; identify innovative training tools and methods to enhance the training program; monitor and assess election law changes and incorporate the changes into polling place procedures; and develop and design election forms, precinct official website, newsletters, assessments, and other communications. Salary: $18.98- $25.62/hr + benefits and eligible for overtime pay. Deadline: April 11. Application: For the complete job listing and to apply, click here.",http://www.wakegov.com/employment/Pages/default.aspx,03-30,2017
5768,Full Stack .Net Developer,"Dominion Voting Systems, Toronto, Ontario</strong> ",Negotiable base + bonus target & benefits,"Full Stack .Net Developer, Dominion Voting Systems, Toronto, Ontario — Dominion Voting Systems is seeking a highly technical and passionate Full Stack .Net Developer to join our team in downtown Toronto! This position will be responsible for providing high-level technical expertise to design development, coding, testing and debugging of new voting system software and/or significant enhancements to existing software. This position will work on a team utilizing an Agile development environment. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,03-30,2017
5769,GIS (Mapping) Specialist,"Fort Meyers, Florida</strong> ","$45,000-$70,000","GIS (Mapping) Specialist, Fort Meyers, Florida — Lee County Supervisor of Elections is seeking a full-time Geographical Information Specialist to maintain our county precinct map.  Using MapInfo in conjunction with our voter registration (Voter Focus).  Successful applicant will help diagnosis system problems, correct or initiate corrective action through other technicians, consultants, vendors, technical manuals or supervisors. Qualifications: Five years minimum of Map Info project management, software development and applications support experience and three years or more of experience with Voter Focus or a comparable voter registration system; or any equivalent combination of education, training, and experience which provides the requisite knowledge, skills, and abilities for this job. Salary: $45,000-$70,000. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://dev.lee.vote/GISSpecialist032017.pdf,03-30,2017
5771,"Regional Sales Manager (Southeast), ","South Carolina, Georgia, or Louisiana. The Regional Sales Manager is responsible for long term sales (3",Negotiable base + commission & benefits,"Regional Sales Manager (Southeast), Dominion Voting Systems — Dominion Voting Systems is seeking is highly-motivated and accomplished Regional Sales Manager to work remotely and be based in the Southeastern United States; preferably in North Carolina, South Carolina, Georgia, or Louisiana. The Regional Sales Manager is responsible for long term sales (3-5 years) of the company’s election products and services in a specified geographic region to governmental agencies. This position uses technical, organizational and customer knowledge to influence customers and assist them in applying the products and services to their needs, resulting in revenue generation. In addition, the position provides input and participates in the marketing, planning and development of products and services. Salary: Negotiable base + commission & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,03-30,2017
5772,"Regional Sales Manager (Northeast), ",Ohio or New York. The Regional Sales Manager is responsible for long term sales (3,Negotiable base + commission & benefits,"Regional Sales Manager (Northeast), Dominion Voting Systems — Dominion Voting Systems is seeking is highly-motivated and accomplished Regional Sales Manager to work remotely and be based in the Northeastern United States; preferably Illinois, Ohio or New York. The Regional Sales Manager is responsible for long term sales (3-5 years) of the company’s election products and services in a specified geographic region to governmental agencies. This position uses technical, organizational and customer knowledge to influence customers and assist them in applying the products and services to their needs, resulting in revenue generation. In addition, the position provides input and participates in the marketing, planning and development of products and services. Salary: Negotiable base + commission & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,03-30,2017
5774,Sales Engineer,Dominion Voting Systems</strong> ,Negotiable base + bonus target & benefits,"Sales Engineer, Dominion Voting Systems — Dominion Voting Systems is seeking a passionate and technically skilled Sales Engineer to be based in either California or Colorado. This position will be responsible for serving Dominion Voting Systems customers by identifying their needs; working with Engineering & Certification on adaptations of existing DVS products, equipment, and services; and this using technical, organizational and customer knowledge to influence customers and assist them in applying our products and services to their needs, resulting in revenue generation. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,03-30,2017
5775,Senior Software Engineer,"Clear Ballot, Boston</strong> ",,"Senior Software Engineer, Clear Ballot, Boston — Clear Ballot is looking for a talented Senior Software Engineer to be responsible for building and enhancing enterprise level web applications using JavaScript to create rich, dynamic and visually appealing experiences.  You should have expert knowledge of python, JavaScript and MySQL, as well as experience with various operating systems (Windows 10, Linux Ubuntu). The ideal candidate should have strong technical skills utilizing the latest concepts in front-end development, including responsive techniques, accessibility and client-side frameworks. You will be working with a small team of highly skilled individuals to build a platform that is changing the elections industry. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.clearballot.com/company/careers/senior-software-engineer,03-30,2017
5778,Associate Components Engineer,"Clear Ballot, Boston</strong> ",,"Associate Components Engineer, Clear Ballot, Boston — our growing team has an immediate need in our Boston office for an entry-level/early career Associate Components Engineer in our Product Management organization. As an Associate Components Engineer, you will be at the center of maintaining Clear Ballot as the leader of commercial-off-the-shelf based voting systems.  The list of materials in our voting systems is broad and dynamic; and you will be accountable for staying ahead of vendor product roadmaps, leading the identification and evaluation of new technologies and products from those vendors, identifying new sources of components, then managing new models and products through introduction, test, internal training and deployment.  You may also perform manufacturing engineering duties and vendor surveys.  The successful candidate will be managing finished goods and subassemblies such as computers, printers, and scanners- not board level components. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.clearballot.com/company/careers/associate-components-engineer,08-17,2017
5779,Director of Policy Development and Programming,"The American Constitution Society for Law &amp; Policy, Washington, D.C.</strong> ",,"Director of Policy Development and Programming, The American Constitution Society for Law & Policy, Washington, D.C. — the American Constitution Society for Law and Policy (ACS), one of the nation’s leading progressive legal organizations, seeks an experienced, creative, and detail-oriented Director of Policy Development and Programming based in Washington, D.C. to lead ACS’s “Democracy and Voting” and “Equality and Liberty” efforts. The first portfolio focuses on developing a comprehensive vision of the right to vote and to participate in our political process. The second addresses means of combating inequality resulting from race, color, ethnicity, gender, sexual orientation, disability, age and other factors. The Director plays a central role in coordinating and facilitating ACS’s substantive legal and public policy work in the areas described above and will: Work closely with constitutional scholars, practitioners, advocates, public officials and law students to formulate and advance a progressive vision of the law that is intellectually sound, practically relevant, and faithful to our constitutional values and heritage; Develop and oversee execution of conferences, symposia and other live programming; and Work with authors to publish ACS Issue Briefs and other publications. Application: For the complete job listing and to apply, click here.",https://acslaw.org/node/923819763,08-17,2017
5780,Election Specialist,"Whitman County, Washington Auditor’s Office</strong>",,"Election Specialist, Whitman County, Washington Auditor’s Office— the Election Specialists within the Whitman County Auditor Office assist in the preparation and operation of County elections by processing voter registration applications and election ballots. This position is also tasked with maintaining voter registration files, selection and training of election extra help staff and education programs and have a significant amount of public contact requiring effective communication and service to customers. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.whitmancounty.org/HmnResc/pdf.aspx?jid=143,08-17,2017
5781,Full Stack Software Engineer,"<strong>Clear Ballot, Boston</strong> ",,"Full Stack Software Engineer, Clear Ballot, Boston — Clear Ballot is looking for a talented Software Engineer who wants to bring their technical skills to bear on a hugely consequential problem – to modernize America’s voting systems and to bring transparency to democratic elections.  The successful candidate will build and enhance enterprise-level, highly available applications using primarily Python and MySQL that interface with frontend web applications implemented in JavaScript, Node.js and HTML5.  The ideal candidate should have strong technical skills and a good working knowledge of the latest concepts in performance, security and resilience. One of the hallmarks of our system is its emphasis on new visualization techniques made possible by sophisticated data structures that enable high-performance in a multi-user environment. You will be working with a small team of highly skilled individuals to build and enhance a platform that is changing the elections industry. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.clearballot.com/company/careers/full-stack-software-engineer,08-17,2017
5782,President,Verified Voting</strong> ,,"President, Verified Voting — Verified Voting Foundation (a 501(c)(3) organization) and VerifiedVoting.org (a 501(c)(4) organization) are nonprofit, nonpartisan organizations founded over a decade ago by election security experts. We strive to guarantee the accuracy, transparency, and verifiability of elections, so that citizens rightly can trust election outcomes. We are the only national organization with the exclusive mission of protecting the security of elections in the digital age. This is is an exciting time to be Verified Voting President. Citizens and policy makers are finally becoming aware of major security vulnerabilities of our election systems. The President of Verified Voting, who is the Chief Executive Officer of both organizations, will have a platform that can have significant national impact. We are in the initial stages of launching an ambitious nationwide campaign to promote the adoption of paper ballots and routine manual audits throughout the U.S.  Deadline: Open until filled. Application: For the complete job listing and to apply, click here.  ",https://www.verifiedvoting.org/wp-content/uploads/2017/07/VerifiedVotingPresidentAdvert.pdf,08-17,2017
5783,Project,Dominion Voting Systems </strong>,Negotiable base + bonus target & benefits,"Project Manager, Dominion Voting Systems — Dominion Voting Systems is seeking an experienced and passionate Project Manager to be based in our Toronto office! This position will be responsible will be responsible for the effective project management of assigned projects throughout the Operations, North territory which includes but is not limited to, scheduling, budgeting, quality, staffing, communication, risk, supply chain, integration and customer communication. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,08-17,2017
5784,"Regional Sales Manager (West), ","organizational and customer knowledge to influence customers and assist them in applying the products and services to their needs, resulting in revenue generation. In addition, the position provides input and participates in the marketing, planning and development of products and services. <strong>Salary:</strong> Negotiable base + commission &amp; benefits. <strong>Deadline:</strong> Open until filled. <strong>Application:</strong> For the complete job listing and to apply, <a href=""http://www.dominionvoting.com/company#employment"">click here</a>.</p>",Negotiable base + commission & benefits,"Regional Sales Manager (West), Dominion Voting Systems — Dominion Voting Systems is seeking is highly-motivated and accomplished Regional Sales Manager to work remotely and be based in the Western United States; preferably California. The Regional Sales Manager is responsible for long term sales (3-5 years) of the company’s election products and services in a specified geographic region to governmental agencies. This position uses technical, organizational and customer knowledge to influence customers and assist them in applying the products and services to their needs, resulting in revenue generation. In addition, the position provides input and participates in the marketing, planning and development of products and services. Salary: Negotiable base + commission & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,08-17,2017
5788,Director of Communications,"<strong>U.S. Election Assistance Commission, Silver Spring, Maryland</strong> oversees the day","$108.887-$141,555","Director of Communications, U.S. Election Assistance Commission, Silver Spring, Maryland oversees the day-to-day operation and management of the Office of Communications, which is responsible for managing external affairs including media relations and outreach and communication with the election community (state and local election administrators), voting equipment manufacturers and the voting population to promote broad understanding and acceptance of EAC?s mission and programs. Reporting to the Executive Director, the Director of Communications will craft and implement a comprehensive strategy for engaging with a wide and varied audience to ensure that EAC is viewed as the primary source, disseminator, and conduit of information within the elections community and its constituent base. The incumbent will develop a strategic communications plan to align with EAC’s near-term strategy and fulfill the agency’s long-term goals. The successful candidate will have the ability to take knowledge and transform it into exciting and useful messages, and disseminate these messages to the right audiences through the best distribution channels. Success will be measured by the increased visibility of EAC across key stakeholder groups. This includes placement of key staff as speakers at high profile election events, mentions in key publications, outreach for assistance from election officials and congressional staff, and increased audience engagement measured by increased downloads of publications, and participation in EAC events. Salary: $108.887-$141,555. Deadline: Sept. 16. Application: For the complete job listing and to apply, click here.",https://www.usajobs.gov/GetJob/ViewDetails/449182400/,09-15,2016
5807,Product Manager,Clear Ballot</strong> ,,"Product Manager, Clear Ballot — product management is the hub around which all other functions orbit. It is uniquely positioned as an internal customer and supplier of and to Engineering, Business Development, Compliance/Certification, Field Operations, and Executive Management. Responsibilities include: Maintain on-going conversations with relevant stakeholders (Clear Ballot staff, regulators, activists, prospective customers, alpha/beta customers, existing customers, and staff at technology leaders such as Intel) to define product requirements; hold twice yearly or event driven cross functional meetings to set requirements and timelines for future product releases, in both hardware and software; work with the CTO, COO, and VP, Products to ensure a cohesive product strategy that aligns with market driven dates and manifests appropriate functionality and peripheral products within the voting system; drive a requirements and solutions set across development teams (primarily Development/Engineering, Product Documentation, and Marketing Communications) through market requirements, product contract, and positioning; maintain a Product Roadmap and a product requirements database; and analyzing potential partner relationships for the product. Application: For the complete job listing and to apply, click here.",http://www.clearballot.com/company/careers/product-manager,04-21,2016
5808,Product Specialist,"Chicago, Illinois area (Remote)</strong> ",Negotiable base + bonus target & benefits,"Product Specialist, Chicago, Illinois area (Remote) — Dominion Voting Systems is seeking a tech-savvy and out-going Product Specialist to work remotely and be based in the Chicago, IL area! This position will be responsible for the installation, operation, repair, and maintenance of all Dominion Voting Systems products; development and delivery of product training curriculum and materials to customers and internal employees; and interface directly with customers, co-workers, and election officials. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,04-21,2016
5816,Ballot Production Services Consultant,<strong>Hart InterCivic</strong> ,,"Ballot Production Services Consultant, Hart InterCivic — BPS Consultants at Hart work with our customers to design ballots and to provide printed ballots and voting media for customers. This is a customer-service position, and applicants must have exceptional customer service skills. This is a part-time hourly positon with opportunities for overtime pay during peak periods. This is not a replacement position, but a net new position at Hart. This is an ideal position for someone who wants to work varying hours, depending on the calendar. Preference is for this position to be Austin-based, but that is open to negotiation. Deadline: Open until filled. Application: For the complete job listing and to apply, please click here.",http://www.hartintercivic.com/content/ballot-production-services-consultant,12-08,2016
5831,Associate Director,"Virginia Public Access Project, Richmond, Virginia</strong>",,"Associate Director, Virginia Public Access Project, Richmond, Virginia— make a difference with a nonprofit organization that plays a high-profile role bringing transparency to Virginia politics. We’re looking for someone with a strong interest in politics, but because we’re fiercely nonpartisan, you must be willing to check your personal views at the door. This is a multi-faceted position in an organization that operates in a data-rich environment. You must be comfortable moving between communications, nonprofit fundraising and data analysis. We’re looking for someone who is bright, curious, eager to learn, analytical and motivated by a desire to make a difference. Deadline: July 8. Application: For the complete job listing and to apply, click here.",images/VPAP_Associate_Director.pdf,07-07,2016
5840,Registrar,"Greene County, Virginia</strong>","$45,557","Registrar, Greene County, Virginia—duties include those outlines in Virginia Code Sec. 24,2-114, as well as those assigned by the local electoral board. Candidates must possess knowledge of cutting edge technology and the ability to assist the public in a professional manner. Additional skills include familiarity with local government, accounting, standard office procedures, federal/state election laws, managements skills, public relations and good oral/written communication skills. Salary: $45,557. Deadline: July 11. Application: For the complete job listing and to apply, click here.",images/Greene_County_GR.pdf,07-07,2016
5849,Registrar Liaison Supervisor,Virginia Department of Elections</strong> ,"$55,000-$70,000","Registrar Liaison Supervisor, Virginia Department of Elections — the Department of Elections (ELECT) is seeking a qualified individual to lead and direct the administration of elections in Virginia through the supervision of staff responsible for regular communication with local general registrars. This position leads the team dedicated to improving communication with local election administrators by promoting awareness of compliance with election related matters and assists with managing new legislative, regulated or administrates changes. Salary: $55,000-$70,000. Deadline: Aug. 24. Application: For the complete job listing and to apply, click here.",https://jobs.agencies.virginia.gov/applicants/jsp/shared/position/JobDetails_css.jsp?postingId=1130185,08-18,2016
5872,Deputy Director of Elections & Deputy Registrar,"Norfolk, Virginia</strong> ",,"Deputy Director of Elections & Deputy Registrar, Norfolk, Virginia — must “wear many hats,” including meeting all qualifications of the Director of Elections & General Registrar (Director). The Deputy must be fully capable of assuming the duties and responsibilities in the Director’s absence, including being able to fully administer and direct all activities for a local, State or Federal elections. This requires an understanding of the subtleties of politics, government, history, business and finance and the development of comprehensive operational plans to ensure elections are administered in compliance with all State and Federal Election laws. The Deputy is an Election Administrator for the Office of Elections and is responsible for oversight of staff activities connected with the administration of all elections held in the City of Norfolk. The Deputy also responsible for managing staff and the daily operations of the Office of Elections, which includes monitoring work processes and procedures for compliance with State and Federal laws. Deadline: January 25. Application: Interested applicants should submit their resume with cover letter and two (2) letters of reference to vote@norfolk.gov and for the complete job listing,  click here. ",images/Deputy_Director_of_Elections__Deputy_Registrar_copy.pdf,01-14,2016
5906,"Chief, Departmental Operations",San Diego County Registrar of Voters </strong>,"$95,000 to $110,000","Chief, Departmental Operations, San Diego County Registrar of Voters — the County of San Diego, Registrar of Voters (ROV) invites résumés from qualified candidates for Chief, Departmental Operations to fill a vacancy in the Precinct Services Division. The Chief, Departmental Operations is an unclassified management position reporting directly to executive management and oversees a major functional area or several small programs including creating program policy and supervision of staff. This position provides leadership and oversight over the functions and activities of the Department’s Precinct Services Division. The primary responsibilities are to direct precinct planning; securing poll facilities; survey and retrofit polls to meet accessibility requirements; print requests; GIS/cartographic functions; oversee candidate filing and candidate services, manage campaign finance disclosure reporting and oversee the overall direction of the language services program. The Chief, Departmental Operations provides leadership, supervision, and management of staff responsible for precinct service activities. These responsibilities are accomplished through a balanced, yet continually shifting combination of in-house resources. Salary: $95,000 to $110,000. Deadline: January 9, 2017. Application: For the complete job listing and to apply, click here.",http://www.sandiegocounty.gov/content/dam/sdc/hr/jobs/ROV_Chief_Dept_Oper_Precinct.pdf,12-29,2016
5917,Systems Engineer,"Clear Ballot, Boston, Massachusetts</strong> ",,"Systems Engineer, Clear Ballot, Boston, Massachusetts — we are looking for a talented Systems Engineer who has both a technical and services/support background which enables them to quickly assess customer needs and offer value to Clear Ballot’s customers. The Systems Engineer will gain a deep understanding of how Clear Ballot’s products operate and their optimal configuration to build a streamlined installation process of the Clear Vote election system. The ideal candidate for this position can prioritize mission critical tasks and coordinate the implementation and expansion of our systems. They will be able to work directly with customers, display innovation, think conceptually and act tactically to build consensus around system installation and enhancement and meet deadlines. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.clearballot.com/company/careers/systems-engineer,12-29,2016
5918,Voter Registration Specialist II,"Yavapai County, Arizona </strong>",$17.18-$19.75/hour,"Voter Registration Specialist II, Yavapai County, Arizona — under minimal supervision, supervises temporary employees and performs all forms of customer service and office procedures. Also performs technical work of increasing difficulty in the operation of Voter Registration and specialized mailing and printing equipment. Major Duties and Responsibilities: Maintains complex voter registration database; manage all phases of printing and mailing of voter materials. Helps manage all phases of mailing and receiving ballots; purchases and maintains inventory of stock; accounts for beginning and ending inventory of ballots. Assists the Registrar of Voters in planning, organizing and preparing for upcoming Elections. Oversees day-to-day office duties; supervises and provides clerical operational support to assigned staff; maintains daily and monthly reports; monitors and performs the maintenance of voter registration records and lists. Prepares periodic and special reports including statistical reports to the Parties, statutory reports to Secretary of State’s office and audit reports to election for canvass. Provides information to the public by answering questions and resolving complaints regarding election/VR laws and procedures. Orders supplies for the Voter Registration department. Performs other job related duties as assigned. Salary: $17.18-$19.75/hour. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/yavapai/jobs/1596221/voter-registration-specialist-ii,12-29,2016
5921,Elections Technician,"Wayne County, North Carolina</strong>  ","$40,994 – $63,937 Deadline: March 25","Elections Technician, Wayne County, North Carolina  — Installs hardware and software, manages system upgrades, and coordinates with county IT department. Implements upgrades and/or updates to the State Election Information Management Software (SEIMS) as provided by the State Board of Elections. Manages voting equipment to include inventory, preparation of voting equipment and systems for elections, delivery and return of equipment for each election, and general maintenance or oversight of maintenance in accordance with federal and state regulations. Trains and supervises small technical work group during voting equipment preparation for polling location and as Election Day support. Prepares and administers polling location computerized poll books and voting tabulation software. Inspects and prepares supplies for each polling location prior to each election. Supervises temporary and part time elections workers. Conducts voting machine training for both technical and user level. Administers and maintains county elections website. Salary: $40,994 – $63,937 Deadline: March 25. Application: For the complete job listing and to apply, click here.",http://www.waynegov.com/Jobs.aspx?UniqueId=99&From=All&CommunityJobs=False&JobID=Elections-Technician-56,03-24,2016
5924,Network & Systems Specialist,"Denver, Colorado </strong>",Negotiable base + bonus target & benefits,"Network & Systems Specialist, Denver, Colorado — Dominion Voting Systems is seeking a tech-savvy and detail oriented, Network & Systems Specialist, to be based in our downtown Denver, Colorado office. This role is responsible for assisting with the deployment and troubleshooting of advanced elections hardware and software system configurations; providing support to the logistics associated with procuring elections systems and equipment; performing tests and evaluations of various voting solutions; and providing election support to customers both remotely and/or on-site. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply,click here.",http://www.dominionvoting.com/company#employment,03-24,2016
5932,Director of Elections,"Montgomery County, Alabama</strong>",,"Director of Elections, Montgomery County, Alabama— Director of Elections manages and oversees all operations involved in the election process of Montgomery County. This includes Montgomery County primary, primary-run off, general and other required elections such as municipal, county, state, federal and special elections. The essential functions include supervising two or more full-time employees; supervising the financial management of the Elections Center; managing the overall elections process for the county; preparing for elections; monitoring activities prior to, in preparation for and during Election Day; coordinating post-elections activities; serving as liaison with county, state, federal, and private sector groups; serving as the Absentee Elections Manager, preparing and providing voter education, and performing various activities and projects as directed by the Probate Judge. Qualified applicants will possess a master’s of public administration and four years of experience administering and conducting public elections or related political/legal activities. A doctorate of jurisprudence can substitute for two years of the experience administering and conducting public elections or the related political/legal activities experience.Salary: $62,126.Deadline: Open until filled.Application: For the complete job listing and to apply,click here.",http://www.montgomeryal.gov/city-government/city-departments/personnel,02-25,2016
5933,Elections Assistant Administrator,"Travis County, Texas</strong>",,"Elections Assistant Administrator, Travis County, Texas— assists the Division Manager in strategic planning that establishes goals and objectives for the division. Oversees the daily operational activities of a divisional area. Overseas the day-to-day functions of the division, including personnel, information systems, facilities, resources planning, strategic planning and records management. Assists the Division Manager with planning, coordinating, administering and evaluating operations, staff and functions of the division.Salary: $77,956.53-$101,343.63.Deadline: February 29.Application: For the complete job listing and to apply,click here.",http://www.traviscountyjobs.org/,02-25,2016
5936,Product Specialist,"Dominion Voting Systems, Chicago area</strong>",Negotiable base + bonus target & benefits,"Product Specialist, Dominion Voting Systems, Chicago area— Dominion Voting Systems is seeking a tech-savvy and out-going person to join us as a, Product Specialist, in the Chicago, Illinois area. This position is responsible for the installation, operation, repair, and maintenance of all Dominion Voting Systems products; developing and delivering of product training curriculum and materials to customers and internal employees; and interfacing directly with customers, co-workers, and election officials. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply,click here.",http://www.dominionvoting.com/company#employment,02-25,2016
5941,Ballot Receiving Specialist,"Arapahoe County, Colorado</strong> ","$33,664-$52,802 annually","Ballot Receiving Specialist, Arapahoe County, Colorado — reporting directly to the Elections Manager – Operations, this employee performs a variety of clerical and customer service work which ensures compliance with statutes and mandates that govern election operations in Arapahoe County. Experience of applicant selected will determine which role — ballot receiving specialist, senior ballot receiving specialist or ballot receiving lead — they will fill. The ballot receiving specialist is is an entry-level positions in the Elections division. This entry-level position should be able to work independently most of the time after an appropriate amount of training. The Ballot Receiving Specialist is distinguished from upper level positions by the degree of work experience and having a basic knowledge of the election process. The senior ballot receiving specialist is the second level position for the Election Division. This position will master the Ballot Receiving Specialist position. The Sr. Ballot Receiving Specialist is distinguished from upper level positions by the degree of work experience and having an intermediate knowledge of State election statute and Colorado Secretary of State Election Rules. And the ballot receiving lead is the third level positions for the Elections Division. This position will master the Ballot Receiving Specialist position and the Sr. Ballot Receiving Specialist. Additionally, the Ballot Receiving Lead has overall responsibility for all areas of ballot receiving, ballot security teams, the mail ballot sorting equipment (Agilis), and Health Care Facilities. Salary: $33,664-$52,802 annually. Deadline: April 18. Application: For the complete job listing and to apply, click here.",http://agency.governmentjobs.com/arapahoe/default.cfm,04-07,2016
5942,Customer Relations Association,"Albuquerque, New Mexico</strong>",Negotiable base + bonus target & benefits,"Customer Relations Association, Albuquerque, New Mexico–Dominion Voting is searching for a highly motivated, enthusiastic, and hands-on Customer Relations Associate for our Albuquerque, NM office. The key responsibilities for this role will be to manage one or more customer accounts to include product support, problem resolution, and placing product and service orders. In addition, this role will be responsible for managing customer projects such as election support, new product implementations, upgrades, and providing superior customer service. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/upload/files/181CustomerRelationsAssociate%28NM%29.pdf,04-07,2016
5947,Elections Technician,"Wayne County, North Carolina</strong> ","$40,994-$63,937","Elections Technician, Wayne County, North Carolina — installs hardware and software, manages system upgrades, and coordinates with county IT department. Implements upgrades and/or updates to the State Election Information Management Software (SEIMS) as provided by the State Board of Elections. Manages voting equipment to include inventory, preparation of voting equipment and systems for elections, delivery and return of equipment for each election, and general maintenance or oversight of maintenance in accordance with federal and state regulations. Trains and supervises small technical work group during voting equipment preparation for polling location and as Election Day support. Prepares and administers polling location computerized poll books and voting tabulation software. Inspects and prepares supplies for each polling location prior to each election. Supervises temporary and part time elections workers. Conducts voting machine training for both technical and user level. Administers and maintains county elections website. Salary: $40,994-$63,937. Deadline: April 15, 2016. Application: For the complete job listing and to apply, click here.",http://www.waynegov.com/Jobs.aspx,04-07,2016
5949,HR Intern,"Denver, Colorado</strong> ",Negotiable hourly rate Deadline: Open until filled,"HR Intern, Denver, Colorado — Dominion Voting Systems is seeking a highly-driven and passionate HR Intern to join our team in our downtown Denver office! This position will be responsible for understanding and executing on the Company’s Compliance requirements – the foundation of HR. In addition to gaining full understanding of Compliance requirements, the HR Intern will work closely with the HR Manager and HR Generalist to gain exposure to the full breadth of the HR function within a fast-paced, global, high-tech environment! Salary: Negotiable hourly rate Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,04-07,2016
5950,Hardware Engineer III,"Toronto, Ontario</strong> ",Negotiable hourly rate Deadline: Open until filled,"Hardware Engineer III, Toronto, Ontario — Dominion Voting Systems is seeking a highly-skilled and enthusiastic Hardware Engineer III to join us in our downtown Toronto office! This role will be responsible for contributing as a lead member of the mechanical engineering team to develop new products from concept to production, as well as supporting production runs and any field requirements for existing and legacy products. New products are designed and developed in an Agile environment using time to market concepts and robust design techniques! This position will also be responsible for successfully partnering with our contract manufactures. Salary: Negotiable hourly rate Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,04-07,2016
5952,Product Specialist,"Chicago, Illinois area</strong> (Remote) ",Negotiable base + bonus target & benefits,"Product Specialist, Chicago, Illinois area (Remote) — Dominion Voting Systems is seeking a tech-savvy and out-going Product Specialist to work remotely and be based in the Chicago, IL area! This position will be responsible for the installation, operation, repair, and maintenance of all Dominion Voting Systems products; development and delivery of product training curriculum and materials to customers and internal employees; and interface directly with customers, co-workers, and election officials. Salary: Negotiable base + bonus target & benefits. Deadline: Open until filled. Application: For the complete job listing and to apply, click here.",http://www.dominionvoting.com/company#employment,04-07,2016
5964,Clerk-Recorder Services Manager,"Contra Costa County, California</strong>",,"Clerk-Recorder Services Manager, Contra Costa County, California— this management position reports to the assistant clerk-recorder and acts in the place of the assistant clerk-recorder in his/her absence. Position is responsible for assisting the assistant clerk-recorder in planning, organizing, directing and managing the day-to-day activities of the clerk-recorder division; the development, establishment, implementation and evaluation of the county clerk and county recorder policies and procedures according to California Codes, applicable laws, rules, procedures, court cases, regulations and ordinances that affect the county clerk and county recorder. The ideal candidate will possess knowledge and understanding of the entire clerk and recorder processes, appropriate laws, codes and regulations as well as working knowledge and understanding of the interrelationships of each of the sections of the division. Strong management and administrative skills re required.Salary: $6,459-$7,851 monthly.Deadline: March 4.Application: For the complete job listing and to apply,click here.",http://www.cccounty.us/361/Human-Resources,03-03,2016
